"Company Name","Website","Phone","Email","Address","Category","Website Status","Lead Score","Qualification Level","SSL Status","Source","Rating","Created At","Searched Keyword","Searched Location"
"Amritsar Haveli Prahlad Nagar Ahmedabad","https://amritsarhaveligroup.com","08735851439","","
Venus Atlantis, 107, The Corporate Park, above Gwalia Sweets, Prahlad Nagar, Ahmedabad, Gujarat 380015","North Indian restaurant","unknown","80","","","google-maps","4.3","2026-06-11T11:03:37.347Z","Restaurant","Prahlad Nagar"
"Hocco Eatery Prahlad Nagar","https://www.hocco.in","07926932666","","
Shop No: 13, Shivalik Arcade, 100 Feet Rd, near Prahaladnagar Garden, Prahlad Nagar, Ahmedabad, Gujarat 380015","North Indian restaurant","unknown","80","","","google-maps","4.3","2026-06-11T11:03:42.673Z","Restaurant","Prahlad Nagar"
"Shaka","https://www.facebook.com/theshakaharis","08866572104","","
The Shakahari by Awadhpuri, 101, Garden, opp. Prahlad Nagar, Prahlad Nagar, Ahmedabad, Gujarat 380015","Asian restaurant","unknown","80","","","google-maps","4","2026-06-11T11:03:47.660Z","Restaurant","Prahlad Nagar"
"Jassi De Parathe","https://www.jassideparathe.com","09925002706","","
107 & 108, Safal Pegasus, 106, 100 Feet Anand Nagar Rd, Chinar Bungalows, Prahlad Nagar, Ahmedabad, Gujarat 380015","Punjabi restaurant","unknown","80","","","google-maps","4.4","2026-06-11T11:03:52.529Z","Restaurant","Prahlad Nagar"
"Nini's Kitchen","http://www.ninis.co.in","09925596666","","
9/C, First Floor, Venus Atlantis Business Park, 100 Feet Anand Nagar Rd, near Shell Petrol Pump, Prahlad Nagar, Ahmedabad, Gujarat 380015","Vegetarian restaurant","unknown","80","","","google-maps","4.3","2026-06-11T11:03:57.823Z","Restaurant","Prahlad Nagar"
"Radhika's Authentic South Indian Food","https://www.radhikas.in","09855269855","","
Camps Corner 2, 12a, 100 Feet Anand Nagar Rd, Opposite Prahladnagar Garden, Prahlad Nagar, Ahmedabad, Gujarat 380015","South Indian restaurant","unknown","85","","","google-maps","4.6","2026-06-11T11:04:04.283Z","Restaurant","Prahlad Nagar"
"GRILL KITCHEN PRAHLADNAGAR","https://grillkitchen.co.in","09978477779","","
2nd Floor, Shop no. 204 & 205, SHIVALIK ARCHED ON, 100 Feet Rd, opp. PARASNAGAR BUNGLOW, Prahlad Nagar, Ahmedabad, Gujarat 380015","Barbecue restaurant","unknown","85","","","google-maps","4.5","2026-06-11T11:04:14.306Z","Restaurant","Prahlad Nagar"
"Atrangi - The Modern Indian Kitchen","https://www.atrangi.co","09077785000","","
Ff 101 & 102, Ratnanjali Square, Prernatirth Derasar Rd, Prahlad Nagar, Ahmedabad, Gujarat 380015","Restaurant","unknown","85","","","google-maps","4.6","2026-06-11T11:04:19.009Z","Restaurant","Prahlad Nagar"
"Pizzaiiolo wood fired Prahlad Nagar","https://www.pizzaiiolo.com","09913377739","","
Shop no 12, Dev Atelier, nr. Anandnagar Cross Road, Prahlad Nagar, Ahmedabad, Gujarat 380015","Restaurant","unknown","85","","","google-maps","4.8","2026-06-11T11:04:24.432Z","Restaurant","Prahlad Nagar"
"Kitcha: Together We Eat","https://www.google.com/searchviewer/42?cvd=clw_eickjeicijigehkif9lx29ipeqonl2cvmtf2eta2nnjjnrgbogmi8a0%3d&hl=en-in&gl=in&fo_m=mfohqo559jfvmuozjvpjpl1ymfz3binywbdumfaxtpp5kxh-&utm_source=tactile&gei=ojyqaqjznp6esempx6c5-qm&ei=ojyqaqjznp6esempx6c5-qm&fo_s=oa,soe&opi=79508299&ordertype=1&ebb=1&cs=0&foub=mcpp","09227095919","","
G-14, Chinar Bungalows, Prahlad Nagar, Ahmedabad, Gujarat 380015","Italian restaurant","unknown","85","","","google-maps","4.8","2026-06-11T11:04:30.210Z","Restaurant","Prahlad Nagar"
